Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,ORD-1001,09/08/2022,09/10/2022,Standard Class,CUST-1048,Susan Johnson,Consumer,United States,East,New York,Furniture,Bookcases,287.68,9,0,132.59
2,ORD-1002,10/28/2023,11/03/2023,Same Day,CUST-1175,John Garcia,Corporate,United States,East,New York,Technology,Accessories,1094.43,8,0.1,147.56
3,ORD-1003,04/05/2022,04/09/2022,Standard Class,CUST-1194,Mary Anderson,Consumer,United States,West,Oregon,Office Supplies,Binders,202.47,6,0.5,-55.01
4,ORD-1004,08/15/2023,08/17/2023,Standard Class,CUST-1195,James Davis,Corporate,United States,Central,Illinois,Technology,Machines,1412.1,4,0,214.81
5,ORD-1005,12/30/2022,01/01/2023,Second Class,CUST-1084,Jennifer Moore,Corporate,United States,Central,Illinois,Furniture,Bookcases,1343.65,2,0.4,-233.94
6,ORD-1006,12/03/2023,12/06/2023,Same Day,CUST-1138,Mary Hernandez,Consumer,United States,Central,Texas,Technology,Accessories,1687.28,1,0.5,-173.91
7,ORD-1007,02/10/2023,02/16/2023,First Class,CUST-1300,Sarah Moore,Corporate,United States,Central,Michigan,Furniture,Furnishings,923.12,3,0.15,220.64
8,ORD-1008,05/22/2022,05/27/2022,Same Day,CUST-1033,Robert Garcia,Corporate,United States,South,Georgia,Office Supplies,Paper,992.1,1,0.5,-384.44
9,ORD-1009,07/21/2023,07/28/2023,First Class,CUST-1058,Sarah Rodriguez,Corporate,United States,South,Georgia,Technology,Machines,1885.44,2,0.4,-389.85
10,ORD-1010,09/27/2022,10/02/2022,Second Class,CUST-1079,Elizabeth Taylor,Corporate,United States,West,California,Office Supplies,Binders,1526.3,2,0.3,-292.64
11,ORD-1011,05/16/2023,05/17/2023,Standard Class,CUST-1044,Linda Jackson,Home Office,United States,East,Pennsylvania,Technology,Machines,232.62,5,0.15,56.35
12,ORD-1012,05/12/2022,05/18/2022,Second Class,CUST-1277,Karen Wilson,Home Office,United States,East,New Jersey,Technology,Accessories,955.81,3,0.3,77.16
13,ORD-1013,02/13/2023,02/19/2023,Standard Class,CUST-1174,Linda Davis,Consumer,United States,West,Oregon,Technology,Machines,1303.26,9,0.2,126.2
14,ORD-1014,01/08/2022,01/09/2022,Standard Class,CUST-1264,Mary Hernandez,Consumer,United States,West,Washington,Technology,Accessories,1418.6,4,0,666.27
15,ORD-1015,08/08/2023,08/13/2023,Standard Class,CUST-1221,Michael Brown,Corporate,United States,South,Georgia,Furniture,Tables,950.62,8,0.5,-345.43
16,ORD-1016,11/21/2023,11/27/2023,Second Class,CUST-1099,William Brown,Consumer,United States,South,North Carolina,Office Supplies,Binders,1968.49,1,0,627.59
17,ORD-1017,07/07/2022,07/10/2022,Standard Class,CUST-1277,Sarah Brown,Consumer,United States,South,Florida,Furniture,Furnishings,930.63,2,0.5,-185.58
18,ORD-1018,05/13/2023,05/17/2023,First Class,CUST-1233,John Gonzalez,Corporate,United States,West,Washington,Furniture,Furnishings,435.36,1,0.2,98.35
19,ORD-1019,10/31/2022,11/02/2022,Standard Class,CUST-1300,William Johnson,Corporate,United States,South,North Carolina,Furniture,Tables,1937.73,9,0.3,334.39
20,ORD-1020,07/10/2022,07/11/2022,Standard Class,CUST-1042,Charles Davis,Corporate,United States,West,Oregon,Furniture,Chairs,1194.12,4,0.4,-97.56
21,ORD-1021,11/17/2023,11/23/2023,First Class,CUST-1038,Elizabeth Anderson,Consumer,United States,Central,Illinois,Office Supplies,Paper,635.23,7,0.15,184.92
22,ORD-1022,06/03/2023,06/06/2023,Second Class,CUST-1225,Barbara Martinez,Home Office,United States,East,New Jersey,Furniture,Tables,273.59,2,0.15,-12.5
23,ORD-1023,11/15/2023,11/22/2023,Standard Class,CUST-1055,Robert Rodriguez,Home Office,United States,Central,Michigan,Technology,Phones,1113.66,2,0.4,-359.18
